id,symbol,company_name,security_type,event_start_date,event_end_date,peak_date,price_start,price_peak,price_end_3d,return_1d_pct,return_3d_pct,return_peak_pct,label_a,label_b,day_after_continuation,volume_event_day,volume_avg_20d_pre,volume_ratio,shares_outstanding,float_shares,market_cap_pre,short_interest_shares,short_pct_float,days_to_cover,sector,industry,exchange,ipo_date,days_since_ipo,catalyst_summary,news_count_event_day,options_available,iv_pre_event,call_oi_pre,put_oi_pre,taxonomy_bucket,taxonomy_confidence,taxonomy_notes,data_source,created_at
8,BBIG,"Vinco Ventures, Inc.",common,2025-11-05T00:00:00,2025-11-10T00:00:00,2025-11-10T00:00:00,0.0005,0.03,0.0198,1880.0,3860.0,5900.0,1,1,0.0,17611.0,4930.05,3.57,13000000.0,11665321.0,6500.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:27:30.270997
5,BBIG,"Vinco Ventures, Inc.",common,2024-12-31T00:00:00,2025-01-06T00:00:00,2025-01-06T00:00:00,0.0004,0.012,0.012,48.15,2900.0,2900.0,1,1,0.0,50525.0,21537.3,2.35,13000000.0,11665321.0,5200.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:27:30.270996
6,BBIG,"Vinco Ventures, Inc.",common,2025-01-15T00:00:00,2025-01-21T00:00:00,2025-01-21T00:00:00,0.001,0.03,0.03,2900.0,2900.0,2900.0,1,1,0.0,4687.0,28892.7,0.16,13000000.0,11665321.0,13000.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:27:30.270996
7,BBIG,"Vinco Ventures, Inc.",common,2025-05-06T00:00:00,2025-05-09T00:00:00,2025-05-09T00:00:00,0.0004,0.009,0.009,2900.0,2150.0,2150.0,1,1,0.0,2382.0,1934.8,1.23,13000000.0,11665321.0,5200.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:27:30.270997
3,BBIG,"Vinco Ventures, Inc.",common,2024-07-03T00:00:00,2024-07-09T00:00:00,2024-07-08T00:00:00,0.0006,0.0101,0.01,0.0,1566.67,1583.33,1,1,0.0,0.0,4258.45,0.0,13000000.0,11665321.0,7799.999999999999,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:27:30.270995
15,TOP,TOP Financial Group Limited,adr,2023-04-25T00:00:00,2023-04-28T00:00:00,2023-04-28T00:00:00,6.71,256.44,108.21,441.05,1512.67,3721.76,1,1,0.0,6700900.0,745490.0,8.99,37068205.0,6999960.0,248727655.55,77176.0,0.0045,2.38,Financial Services,Capital Markets,NCM,,,"Hong Kong fintech micro-cap, extreme low float",,0,,,,penny_stock_pump,0.9,"Seed list: Hong Kong fintech micro-cap, extreme low float",yfinance,2026-03-26T20:27:33.675059
12,HKD,AMTD Digital Inc.,adr,2022-07-27T00:00:00,2022-08-01T00:00:00,2022-08-01T00:00:00,76.69,767.03,742.0,85.38,867.53,900.17,1,1,1.0,443800.0,1090662.5,0.41,197023250.0,43990309.0,15109713042.5,1981056.0,0.0101,2.38,Technology,Software - Application,NYQ,,,"IPO $7.80 to $2,555, no clear catalyst, SEC scrutiny",,0,,,,penny_stock_pump,0.9,"Seed list: IPO $7.80 to $2,555, no clear catalyst, SEC scrutiny",yfinance,2026-03-26T20:27:31.921642
11,DJT,Trump Media & Technology Group Corp.,common,2021-10-19T00:00:00,2021-10-22T00:00:00,2021-10-22T00:00:00,10.01,175.0,94.2,107.03,841.06,1648.25,1,1,0.0,133395800.0,93069.23,1433.3,276731315.0,159355728.0,2770080463.15,11809590.0,0.0731,3.03,Communication Services,Internet Content & Information,NGM,,,"DWAC→DJT merger completion, political meme stock",,1,,,,spac_despac,0.9,"Seed list: DWAC→DJT merger completion, political meme stock",yfinance,2026-03-26T20:27:30.920647
13,OCGN,"Ocugen, Inc.",common,2020-12-18T00:00:00,2020-12-23T00:00:00,2020-12-23T00:00:00,0.294,3.05,2.6,222.98,784.35,937.41,1,1,0.0,918194300.0,14124770.0,65.01,327897296.0,322887025.0,96401805.02399999,52358943.0,0.162,5.78,Healthcare,Biotechnology,NCM,,,Covaxin partnership with Bharat Biotech,,1,,,,biotech_catalyst,0.9,Seed list: Covaxin partnership with Bharat Biotech,yfinance,2026-03-26T20:27:32.986289
14,PHUN,"Phunware, Inc.",common,2021-10-19T00:00:00,2021-10-22T00:00:00,2021-10-22T00:00:00,51.0,1202.0,437.0,471.24,756.86,2256.86,1,1,0.0,12957820.0,20024.8,647.09,20188160.0,20115281.0,1029596160.0,705649.0,0.035,7.27,Technology,Software - Application,NCM,,,"Trump-adjacent tech, sympathy move with DWAC",,1,,,,spac_despac,0.9,"Seed list: Trump-adjacent tech, sympathy move with DWAC",yfinance,2026-03-26T20:27:33.084872
